user_id,time_prikaz,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7
683342593,13.11.2017,1,0,0,0,0,0,0
683357532,27.10.2017,0,1,0,0,0,0,0
683387247,27.10.2017,0,1,0,0,0,0,0
683387489,27.10.2017,0,1,0,0,0,0,0
683380914,27.10.2017,0,1,0,0,0,0,0
400023789,27.10.2017,0,1,0,0,0,0,0
683361080,27.10.2017,0,1,0,0,0,0,0
683375018,27.10.2017,0,1,0,0,0,0,0
217176748,27.10.2017,0,1,0,0,0,0,0
683384783,27.10.2017,0,1,0,0,0,0,0
683343898,26.09.2017,0,0,1,0,0,0,0
683372037,26.09.2017,0,0,1,0,0,0,0
683347230,26.09.2017,0,0,1,0,0,0,0
683344861,17.08.2017,0,0,0,1,0,0,0
683368894,17.08.2017,0,0,0,1,0,0,0
683385681,17.08.2017,0,0,0,1,0,0,0
683349595,17.08.2017,0,0,0,1,0,0,0
683342593,17.08.2017,0,0,0,1,0,0,0
683385681,26.07.2017,0,0,0,0,1,0,0
683385714,26.07.2017,0,0,0,0,1,0,0
683385890,26.07.2017,0,0,0,0,1,0,0
683372980,26.07.2017,0,0,0,0,1,0,0
333624562,26.07.2017,0,0,0,0,1,0,0
683380746,26.07.2017,0,0,0,0,1,0,0
683348630,14.08.2017,0,0,0,0,1,0,0
683384980,26.07.2017,0,0,0,0,1,0,0
683344861,26.07.2017,0,0,0,0,1,0,0
683376218,23.08.2017,0,0,0,0,1,0,0
683368894,23.08.2017,0,0,0,0,1,0,0
683349595,26.07.2017,0,0,0,0,1,0,0
683378082,26.07.2017,0,0,0,0,1,0,0
683373434,26.07.2017,0,0,0,0,1,0,0
683363943,07.11.2018,0,0,0,0,0,1,0
683357532,13.11.2018,0,1,0,0,0,0,0
683381285,13.11.2018,0,1,0,0,0,0,0
683387247,13.11.2018,0,1,0,0,0,0,0
683380914,13.11.2018,0,1,0,0,0,0,0
683341712,13.11.2018,0,1,0,0,0,0,0
683350592,13.11.2018,0,1,0,0,0,0,0
217176748,13.11.2018,0,1,0,0,0,0,0
683375018,13.11.2018,0,1,0,0,0,0,0
683387642,13.11.2018,0,1,0,0,0,0,0
683389060,13.11.2018,0,1,0,0,0,0,0
300083013,19.04.2018,0,0,0,0,0,0,1
683342593,19.04.2018,0,0,0,0,0,0,1
683385131,19.04.2018,0,0,0,0,0,0,1
683373387,19.04.2018,0,0,0,0,0,0,1
683365991,19.04.2018,0,0,0,0,0,0,1
683375113,19.04.2018,0,0,0,0,0,0,1
683378014,19.04.2018,0,0,0,0,0,0,1
683373434,19.04.2018,0,0,0,0,0,0,1
683385681,19.04.2018,0,0,0,0,0,0,1
683385485,19.04.2018,0,0,0,0,0,0,1
1050122910,19.04.2018,0,0,0,0,0,0,1
683341018,19.04.2018,0,0,0,0,0,0,1
333624562,19.04.2018,0,0,0,0,0,0,1
683385890,19.04.2018,0,0,0,0,0,0,1
683373387,24.04.2018,0,0,0,1,0,0,0
683385681,24.04.2018,0,0,0,1,0,0,0
1050122910,24.04.2018,0,0,0,1,0,0,0
